0,1,2,3,4
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script)
The Bahamas,Nassau,The Bahamas,Nassau,English
Bahrain,Manama,Al-Ba・Eｸ･raynﾘｧﾙ・Eﾘｨﾘｭﾘｱﾙ・Eﾙ・E,Al-Manﾄ・Emahﾘｧﾙ・Eﾙ・Eﾙ・Eﾘｧﾙ・Eﾘｩ,Arabic(Arabic script)
Bangladesh,Dhaka,Bangladesh・Eｦｬ・Eｦｾ・Eｦ・E・Eｦｲ・Eｦｾ・Eｦｦ・Eｧ・E・Eｦｶ,Dhaka・Eｦ｢・Eｦｾ・Eｦ・E・Eｦｾ,Bengali(Bengali script)
Barbados,Bridgetown,Barbados,Bridgetown,English
Belarus,Minsk,Bielaruﾅ・Eﾐ・Eﾐｵﾐｻﾐｰﾑﾑ・Eﾑ・Eﾑ・EBelarusﾐ・Eﾐｵﾐｻﾐｰﾑﾑ・Eﾑ・Eﾑ・E,Minskﾐ・Eﾑ・Eﾐｽﾑ・EﾐｺMinskﾐ・Eﾐｸﾐｽﾑ・Eﾐｺ,Belarusian(Cyrillic script)Russian(Cyrillic script)
Belgium,Brussels,BelgiﾃｫBelgiqueBelgien,BrusselBruxellesBrﾃｼssel,DutchFrenchGerman
Belize,Belmopan,Belize,Belmopan,English
Benin,Porto-Novo,Bﾃｩnin,Porto-Novo,French
Bermuda[2],Hamilton,Bermuda,Hamilton,English
Bhutan,Thimphu,Druk Yul・Eｽ・Eｽ・E・Eｾｲ・Eｽｴ・Eｽ・E・Eｼ・E・Eｽ｡・Eｽｴ・Eｽ｣,Thimphu・Eｽ・E・Eｽｲ・Eｽ・E・Eｼ・E・Eｽ・E・Eｽｴ,Dzongkha(Tibetan alphabet)
Bolivia,La Paz,BoliviaBuliwya WuliwyaVolﾃｭvia,La PazChuqiyapuChuqiyapuLa Paz,SpanishQuechuaAymaraGuaranﾃｭ
Bosnia and Herzegovina,Sarajevo,Bosna i Hercegovinaﾐ・Eﾐｾﾑ・Eﾐｽﾐｰ ﾐｸ ﾐ･ﾐｵﾑﾑ・Eﾐｵﾐｳﾐｾﾐｲﾐｸﾐｽﾐｰ,Sarajevoﾐ｡ﾐｰﾑﾐｰﾑ・Eﾐｵﾐｲﾐｾ,"Bosnian, Croatian(Latin script), Serbian(Cyrillic script)"
Botswana,Gaborone,Botswana,Gaborone,"English, Tswana"
Brazil,Brasﾃｭlia,Brasil,Brasﾃｭlia,Portuguese
British Virgin Islands[2],Road Town,British Virgin Islands,Road Town,English
Brunei,Bandar Seri Begawan,Bruneiﾘｨﾘｱﾙ・Eﾙ・Eﾙ・E,Bandar Seri Begawan or Bandarﾘｨﾘｧﾙ・Eﾘｯﾘｱ ﾘｳﾘｱﾙ・E ﾘｨﾚｬﾘｧﾙ・Eﾙ・E,Malay(Jawi script)
Bulgaria,Sofia,Bﾄ・Elgariya or Bﾄ・Elgarijaﾐ・Eﾑ・Eﾐｻﾐｳﾐｰﾑﾐｸﾑ・E,Sofiya or Sofija[5]ﾐ｡ﾐｾﾑ・Eﾐｸﾑ・E,Bulgarian(Cyrillic script)
Burkina Faso,Ouagadougou,Burkina Faso,Ouagadougou,French
Burundi,Gitega,Uburundi Burundi,Gitega Gitega,Kirundi  French
