0,1
Iceland,2.0
Slovenia,2.1
Cyprus,2.3
Montenegro,2.3
Estonia,2.4
Finland,2.4
Norway,2.4
Japan,2.5
Singapore,2.5
Sweden,2.6
Luxembourg,2.8
Andorra,3.0
Italy,3.1
Monaco,3.1
Spain,3.1
Belarus,3.2
Czech Republic,3.2
South Korea,3.2
Ireland,3.3
Belgium,3.4
Austria,3.5
Australia,3.6
Latvia,3.6
Hungary,3.7
Israel,3.7
Lithuania,3.7
Portugal,3.7
Denmark,3.8
Germany,3.8
Greece,3.8
Netherlands,4.0
Switzerland,4.0
United Kingdom,4.3
Poland,4.4
France,4.5
New Zealand,4.7
Croatia,4.8
Canada,4.9
Cuba,5.1
Serbia,5.3
Russia,5.8
Slovakia,5.8
Bosnia and Herzegovina,5.9
North Macedonia,6.1
Qatar,6.5
United States,6.5
Saudi Arabia,6.6
Bulgaria,6.7
Bahrain,6.9
Chile,7.0
Malta,7.0
Romania,7.0
Sri Lanka,7.1
Uruguay,7.1
Lebanon,7.2
United Arab Emirates,7.5
Maldives,7.6
China,7.9
Kuwait,7.9
Ukraine,8.4
Costa Rica,8.6
Malaysia,8.6
Thailand,9.0
Argentina,9.3
Georgia,9.6
Albania,9.7
Turkey,10.0
Kazakhstan,10.5
Brazil,11.0
Brunei,11.4
Oman,11.4
Libya,11.5
Armenia,11.8
Belize,12.3
Bahamas,12.6
Barbados,12.7
Peru,13.2
El Salvador,13.3
Colombia,13.8
Iran,13.9
Jamaica,13.9
Ecuador,14.0
Mexico,14.2
Seychelles,14.2
Moldova,14.4
Cape Verde,14.9
Panama,14.9
Samoa,15.0
Jordan,15.6
Mongolia,15.6
Mauritius,16.0
Grenada,16.5
Nicaragua,16.6
Tonga,16.6
Honduras,16.8
Tunisia,16.9
North Korea,17.3
Palau,17.3
Uzbekistan,17.4
Suriname,18.0
Kyrgyzstan,18.3
Paraguay,19.4
Solomon Islands,19.7
Vietnam,19.9
Egypt,20.3
Azerbaijan,20.4
Morocco,21.4
Syria,21.5
Algeria,23.3
Indonesia,23.9
Tuvalu,23.9
Venezuela,24.2
Guatemala,24.5
Fiji,25.7
Iraq,25.9
Vanuatu,25.9
Bolivia,26.0
Cambodia,26.6
Philippines,27.3
Dominica,28.0
Bhutan,28.5
Guyana,29.3
Micronesia,29.4
Bangladesh,30.8
Nepal,30.8
Nauru,30.9
Marshall Islands,31.8
Tajikistan,33.8
India,34.3
Rwanda,34.3
South Africa,34.5
Eritrea,40.5
Botswana,41.6
Malawi,41.6
Turkmenistan,42.0
Namibia,42.4
Gabon,42.5
Kenya,43.2
Myanmar,44.7
Papua New Guinea,44.8
Senegal,45.3
Laos,45.5
Uganda,45.8
Ghana,46.2
Eswatini,49.4
Tanzania,50.3
Madagascar,50.6
Ethiopia,50.7
Kiribati,50.9
Gambia,51.7
Zimbabwe,54.6
Burundi,56.5
Djibouti,57.5
Sudan,58.4
Yemen,58.4
Afghanistan,60.3
Zambia,61.7
Haiti,62.8
Comoros,62.9
Togo,66.9
Pakistan,67.2
Mauritania,72.9
Mozambique,74.2
Angola,74.7
Cameroon,74.8
Guinea-Bissau,78.5
Niger,80.4
Equatorial Guinea,81.8
Liberia,84.6
Lesotho,86.4
Burkina Faso,87.5
Benin,90.3
Mali,94.0
South Sudan,96.2
Guinea,98.8
Sierra Leone,109.2
Central African Republic,110.1
Chad,113.8
Somalia,117.0
Nigeria,117.2
