0,1,2
Saxe-Weimar-Eisenach,253,Johann Wolfgang von Goethe
France,239,Victor Hugo
United States,232,Mark Twain
Spain,225,Miguel de Cervantes
Denmark,223,Hans Christian Andersen
United Kingdom,206,Oscar Wilde
Ireland,206,Oscar Wilde
Colombia,184,Gabriel Garcia Marquez
Duchy of Wuerttemberg,165,Friedrich Schiller
Weimar Republic,150,Thomas Mann
Switzerland,150,Hermann Hesse
Germany,150,Hermann Hesse
Egypt,147,Najib Mahfouz
Kingdom of Egypt,147,Najib Mahfouz
Japan,145,Murasaki Shikibu
Italy,145,Umberto Eco
Sweden,143,Selma Lagerloef
Russia,142,Aleksandr Solzhenitsyn
Austria,131,Rainer Maria Rilke
Canada,131,Leonard Cohen
Turkey,129,Orhan Pamuk
Brazil,127,Paulo Coelho
Portugal,125,Jose Saramago
Norway,123,Knut Hamsun
Romania,117,Herta Mueller
Sri Lanka,116,Arthur C. Clarke
Peru,114,Mario Vargas Llosa
India,111,Salman Rushdie
South Africa,111,Nadine Gordimer
Australia,109,J. M. Coetzee
Trinidad & Tobago,104,V. S. Naipaul
Poland,103,Isaac Bashevis Singer
China,102,Mo Yan
Czech Republic,101,Milan Kundera
Hungary,99,Elie Wiesel
Israel,99,Elie Wiesel
Mauritius,97,Jean-Marie Gustave Le Clezio
Nigeria,96,Wole Soyinka
Kingdom of Sardinia,95,Alessandro Manzoni
Iceland,95,Halldor Laxness
Kyrgyzstan,88,Chinghiz Aitmatov
Chile,87,Isabel Allende
Belgium,86,Marguerite Yourcenar
Finland,78,Frans Eemil Sillanpaeae
Greece,77,Nikos Kazantzakis
Netherlands,73,Harry Mulisch
Mexico,73,Carlos Fuentes
Albania,70,Ismail Kadare
Argentina,64,Ernesto Sabato
Bulgaria,62,Ivan Vazov
Socialist Republic of Romania,62,Mircea Eliade
Tanzania,61,Abdulrazak Gurnah
Kenya,57,Ngugi wa Thiongo
Ukraine,52,Clarice Lispector
Somalia,49,Waris Dirie
Taiwan,47,Lin Yutang
Iran,46,Sadegh Hedayat
Pakistan,45,Tariq Ali
Zambia,45,Wilbur Smith
Mali,43,Alex Haley
Uruguay,43,Mario Benedetti
Venezuela,42,Romulo Gallegos
Indonesia,40,Pramoedya Ananta Toer
Serbia,39,Dobrica cosic
Luxembourg,39,Hugo Gernsback
Croatia,37,Dubravka Ugresic
Cuba,37,Reinaldo Arenas Fuentes
Dominica,37,Jean Rhys
Estonia,36,Jaan Kross
New Zealand,36,Eleanor Catton
South Korea,35,Han Kang
Dominican Republic,35,Junot Diaz
Free Territory of Trieste,31,Vladimir Bartol
Senegal,30,Mariama Ba
Mozambique,30,Mia Couto
El Salvador,29,Claribel Alegria Vides
Algeria,28,Mohammed Dib
Nepal,27,Laxmi Prasad Devkota
Lebanon,25,Andree Chedid
North Macedonia,25,Lidija Dimkovska
Jamaica,24,Marlon James
Belize,24,Colville Young
Haiti,24,Dany Laferriere
Bangladesh,24,Monica Ali
Syria,24,Rafik Schami
Second Syrian Republic,24,Rafik Schami
Democratic Republic of the Congo,23,Kama Sywor Kamanda
Guyana,22,Moses Nagamootoo
Ghana,22,Ama Ata Aidoo
Sudan,22,Leila Aboulela
Armenia,19,Mariam Petrosyan
Cameroon,19,Calixthe Beyala
Philippines,18,Pedro Paterno
Morocco,18,Laila Lalami
Vietnam,17,Kim Thuy
Oman,17,Jokha al-Harthi
Zimbabwe,16,Peter V. Brett
Guinea,16,Tierno Monenembo
Tunisia,16,Abdelwahab Meddeb
Thailand,15,S. P. Somtow
Mongolia,15,Baatarsuren Shuudertsetseg
Bhutan,14,Kunzang Choden
Botswana,13,Unity Dow
Singapore,13,Alfian Sa'at
Malaysia,13,Alfian Sa'at
Chad,12,Marie-Christine Koundja
Azerbaijan,12,Elchin Safarli
Fiji,12,Nalini Singh
Honduras,12,Lucila Gamero de Medina
Malta,11,Francis Ebejer
Benin,11,Florent Couao-Zotti
Equatorial Guinea,11,Maria Nsue Anguee
Saint Kitts and Nevis,10,Caryl Phillips
Guatemala,10,Francisco Goldman
Iraq,9,Abbas Khider
