country,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,54,Roxana,http://www.wikidata.org/entity/Q190055,wd:Q190055,262156,Bactrian princess and wife of Alexander the Great
Tajikistan,54,Roxana,http://www.wikidata.org/entity/Q190055,wd:Q190055,262156,Bactrian princess and wife of Alexander the Great
Turkmenistan,54,Roxana,http://www.wikidata.org/entity/Q190055,wd:Q190055,262156,Bactrian princess and wife of Alexander the Great
Uzbekistan,54,Roxana,http://www.wikidata.org/entity/Q190055,wd:Q190055,262156,Bactrian princess and wife of Alexander the Great
Afghanistan,40,Nur Jahan,http://www.wikidata.org/entity/Q541530,wd:Q541530,455443,Padshah Begum of the Mughal Empire (1577-1645)
Afghanistan,25,Soraya Tarzi,http://www.wikidata.org/entity/Q2976698,wd:Q2976698,8966352,Afghan queen consort of King Amanullah Khan
Syria,25,Soraya Tarzi,http://www.wikidata.org/entity/Q2976698,wd:Q2976698,8966352,Afghan queen consort of King Amanullah Khan
Afghanistan,19,Gulbadan Begum,http://www.wikidata.org/entity/Q2041521,wd:Q2041521,7020107,Mughal princess
Afghanistan,17,Malalai of Maiwand,http://www.wikidata.org/entity/Q762037,wd:Q762037,26516382,national folk hero of Afghanistan who rallied local Pashtun fighters against the British troops
Afghanistan,16,Agathokleia,http://www.wikidata.org/entity/Q391427,wd:Q391427,1313971,"Indo-Greek queen, wife of Menander"
Pakistan,16,Agathokleia,http://www.wikidata.org/entity/Q391427,wd:Q391427,1313971,"Indo-Greek queen, wife of Menander"
Afghanistan,11,Nazo Tokhi,http://www.wikidata.org/entity/Q3918412,wd:Q3918412,26461863,Afghan poet and writer (1651–1717)
Afghanistan,9,Gulchehra Begum,http://www.wikidata.org/entity/Q15391394,wd:Q15391394,31931191,Mughal princess
Afghanistan,6,Ayesha Durrani,http://www.wikidata.org/entity/Q17174888,wd:Q17174888,58122735,Afghan poet
Afghanistan,6,Sahib Jamal,http://www.wikidata.org/entity/Q15401559,wd:Q15401559,38978967,Wife of Emperor Jahangir
Afghanistan,3,Makhafi Badakhshi,http://www.wikidata.org/entity/Q5945919,wd:Q5945919,53275657,Afghan poet
Afghanistan,3,Marajil,http://www.wikidata.org/entity/Q107323710,wd:Q107323710,67894132,mother of Al-Ma'mun
Afghanistan,1,Aminah Fadavi,http://www.wikidata.org/entity/Q25657990,wd:Q25657990,,
Albania,39,Safiye Sultan,http://www.wikidata.org/entity/Q437197,wd:Q437197,3715355,"Haseki Sultan of Murad III, mother of Mehmed III"
Albania,31,Joanna II of Naples,http://www.wikidata.org/entity/Q236933,wd:Q236933,954798,Queen of Naples (1373-1435)
Croatia,31,Joanna II of Naples,http://www.wikidata.org/entity/Q236933,wd:Q236933,954798,Queen of Naples (1373-1435)
Albania,31,Shote Galica,http://www.wikidata.org/entity/Q1280655,wd:Q1280655,30140050,Hero of Albania (1895-1927)
Kosovo,31,Shote Galica,http://www.wikidata.org/entity/Q1280655,wd:Q1280655,30140050,Hero of Albania (1895-1927)
Albania,24,Tefta Tashko-Koço,http://www.wikidata.org/entity/Q3299308,wd:Q3299308,26297055,Albanian artist
Egypt,24,Tefta Tashko-Koço,http://www.wikidata.org/entity/Q3299308,wd:Q3299308,26297055,Albanian artist
Albania,18,Parashqevi Qiriazi,http://www.wikidata.org/entity/Q3300364,wd:Q3300364,27318347,Albanian educational theorist
North Macedonia,18,Parashqevi Qiriazi,http://www.wikidata.org/entity/Q3300364,wd:Q3300364,27318347,Albanian educational theorist
Albania,18,Sabiha Kasimati,http://www.wikidata.org/entity/Q9332564,wd:Q9332564,30611143,Sabiha Kasimati (15 September 1912 - 26 February 1951) was an Albanian biologist and dissident of the communist regime in Albania.She was one of the 23 victims of the regime's Massacre of 1951 in Albania.
Albania,17,Urani Rumbo,http://www.wikidata.org/entity/Q7899648,wd:Q7899648,26799281,Albanian writer (1895–1936)
Albania,17,Deidamia II of Epirus,http://www.wikidata.org/entity/Q2993209,wd:Q2993209,30860711,Princess of Epirus
Greece,17,Deidamia II of Epirus,http://www.wikidata.org/entity/Q2993209,wd:Q2993209,30860711,Princess of Epirus
Albania,17,Olympias II of Epirus,http://www.wikidata.org/entity/Q3235790,wd:Q3235790,30860698,Ancient Greek queen regnant
Greece,17,Olympias II of Epirus,http://www.wikidata.org/entity/Q3235790,wd:Q3235790,30860698,Ancient Greek queen regnant
Albania,17,Audata,http://www.wikidata.org/entity/Q291784,wd:Q291784,15876029,wife of Philip II of Macedon
Albania,15,Shaqe Çoba,http://www.wikidata.org/entity/Q38294986,wd:Q38294986,55702773,Albanian Feminist
Albania,14,Gülcemal Kadin,http://www.wikidata.org/entity/Q5626824,wd:Q5626824,22396881,"Consort of Ottoman Sultan Abdülmecid I, mother of Mehmed V"
Albania,14,Saint Angelina of Serbia,http://www.wikidata.org/entity/Q447704,wd:Q447704,27281267,Serbian saint and Albanian noblewoman
Albania,14,Deidamia I of Epirus,http://www.wikidata.org/entity/Q437342,wd:Q437342,30861120,Princess of Epirus
Albania,13,Marigo Posio,http://www.wikidata.org/entity/Q13042497,wd:Q13042497,44875931,Albanian activist
Albania,13,Tringe Smajl Martini,http://www.wikidata.org/entity/Q7842364,wd:Q7842364,11380846,Albanian guerilla fighter
Albania,13,Sevasti Qiriazi,http://www.wikidata.org/entity/Q13045607,wd:Q13045607,40508662,Albanian activist
North Macedonia,13,Sevasti Qiriazi,http://www.wikidata.org/entity/Q13045607,wd:Q13045607,40508662,Albanian activist
Albania,13,Donika Kastrioti,http://www.wikidata.org/entity/Q13634091,wd:Q13634091,20074320,Albanian noble
Albania,11,"Agatha, wife of Samuel",http://www.wikidata.org/entity/Q3401209,wd:Q3401209,16510220,Bulgarian Empress
Albania,11,Jolanda Kodra,http://www.wikidata.org/entity/Q21604723,wd:Q21604723,48553328,Albanian writer
Albania,11,Margarita Tutulani,http://www.wikidata.org/entity/Q16363710,wd:Q16363710,53812529,Anti-fascist martyr of Albania
Albania,10,Sadije Toptani,http://www.wikidata.org/entity/Q3300254,wd:Q3300254,4365641,Queen mother of Albanians
Albania,10,Liri Gega,http://www.wikidata.org/entity/Q13041650,wd:Q13041650,64122111,Albanian politician
Albania,8,Princess Senije Zogu,http://www.wikidata.org/entity/Q22809885,wd:Q22809885,49451344,Albanian princess (1903–1969)
Albania,7,Adile Zogu,http://www.wikidata.org/entity/Q23989159,wd:Q23989159,55407321,Albanian princess
Albania,5,Liri Gero,http://www.wikidata.org/entity/Q21809593,wd:Q21809593,,
Albania,5,Katina Papa,http://www.wikidata.org/entity/Q3564586,wd:Q3564586,22315058,Greek writer
Albania,4,Halide Pişkin,http://www.wikidata.org/entity/Q6080126,wd:Q6080126,63170473,Turkish actress
Albania,4,Maria Tuci,http://www.wikidata.org/entity/Q25874441,wd:Q25874441,,
Albania,4,Bule Naipi,http://www.wikidata.org/entity/Q4996110,wd:Q4996110,26263424,Albanian heroine
Albania,2,Marie Shllaku,http://www.wikidata.org/entity/Q11769905,wd:Q11769905,,
Albania,2,Persefoni Kokëdhima,http://www.wikidata.org/entity/Q16351970,wd:Q16351970,,
Albania,2,Elena Statelova,http://www.wikidata.org/entity/Q25478400,wd:Q25478400,,
Albania,2,Bedi Pipa,http://www.wikidata.org/entity/Q37763275,wd:Q37763275,,
Albania,1,Shempsperi Sultan,http://www.wikidata.org/entity/Q30956525,wd:Q30956525,,
Albania,1,Q47489473,http://www.wikidata.org/entity/Q47489473,wd:Q47489473,,
Albania,1,Parashqevi Gignasi,http://www.wikidata.org/entity/Q38089340,wd:Q38089340,,
Algeria,40,Monica of Hippo,http://www.wikidata.org/entity/Q234689,wd:Q234689,740416,Christian saint; mother of St. Augustine
Algeria,33,Dihya,http://www.wikidata.org/entity/Q284295,wd:Q284295,1234207,7th century Berber queen who resisted the Umayyads
Algeria,21,Lalla Fatma N'Soumer,http://www.wikidata.org/entity/Q2636619,wd:Q2636619,1491346,Algerian anticolonial leader
Algeria,14,Albertine Sarrazin,http://www.wikidata.org/entity/Q453578,wd:Q453578,3825576,French writer
Algeria,13,Fadhma Aït Mansour,http://www.wikidata.org/entity/Q464382,wd:Q464382,4896489,writer
Algeria,13,Polaire,http://www.wikidata.org/entity/Q463014,wd:Q463014,1013688,French actress
Algeria,11,Berthe Bénichou-Aboulker,http://www.wikidata.org/entity/Q18191462,wd:Q18191462,50953614,Algerian writer (1886-1942)
Algeria,10,Fadhéla Dziria,http://www.wikidata.org/entity/Q3064382,wd:Q3064382,52197495,Algerian singer (1917-1970)
Algeria,10,Drusilla of Mauretania,http://www.wikidata.org/entity/Q5309410,wd:Q5309410,9290870,1st century AD Princess of Mauretania
Algeria,9,Hassiba Ben Bouali,http://www.wikidata.org/entity/Q3128239,wd:Q3128239,3246425,female hero of the Algerian independence war
Algeria,7,Elissa Rhaïs,http://www.wikidata.org/entity/Q3051143,wd:Q3051143,66394883,French salon-holder
Algeria,7,Anna Gréki,http://www.wikidata.org/entity/Q2850512,wd:Q2850512,44630353,Algerian poet
Algeria,7,Eva Carrière,http://www.wikidata.org/entity/Q3850006,wd:Q3850006,18400857,French psychic
Algeria,7,Crispina,http://www.wikidata.org/entity/Q583862,wd:Q583862,5549786,Roman martyr and saint
Algeria,6,Élise Rivet,http://www.wikidata.org/entity/Q274729,wd:Q274729,354491,Roman Catholic nun and Holocaust victim
Algeria,6,Mariquita,http://www.wikidata.org/entity/Q16856596,wd:Q16856596,42545287,Spanish dancer and choreographer
Algeria,6,Marciana of Mauretania,http://www.wikidata.org/entity/Q2073318,wd:Q2073318,14896443,martyr and saint
Algeria,6,Émilie Ambre,http://www.wikidata.org/entity/Q2719416,wd:Q2719416,53282242,French singer and opera singer
Algeria,6,Eugénie Buffet,http://www.wikidata.org/entity/Q2074492,wd:Q2074492,27810775,French singer (1866-1934)
Algeria,6,Casta Álvarez,http://www.wikidata.org/entity/Q5756701,wd:Q5756701,61750855,Spanish military personnel
Algeria,5,Malika Gaïd,http://www.wikidata.org/entity/Q3282085,wd:Q3282085,66287273,Algerian nurse and independence fighter
Algeria,5,Claire Emilie MacDonnel,http://www.wikidata.org/entity/Q96093410,wd:Q96093410,64192740,French courtier (1817–1905)
Algeria,5,Ziza Massika,http://www.wikidata.org/entity/Q3575632,wd:Q3575632,56507074,died in Algerian war (1934-1959)
Algeria,5,Zoulikha Oudai,http://www.wikidata.org/entity/Q16684104,wd:Q16684104,,
Algeria,4,Denise Moore,http://www.wikidata.org/entity/Q5257731,wd:Q5257731,24897115,Aviation pioneer
Algeria,4,Evangeline French,http://www.wikidata.org/entity/Q5415799,wd:Q5415799,9206993,British missionary
Algeria,4,Meriem Fekkaï,http://www.wikidata.org/entity/Q982578,wd:Q982578,37931067,Algerian musician
Algeria,4,Alice Field,http://www.wikidata.org/entity/Q2836573,wd:Q2836573,50189166,French actress (1905-1969)
Algeria,4,Marcelle Ackein,http://www.wikidata.org/entity/Q3289532,wd:Q3289532,,
Algeria,4,Emma Vecla,http://www.wikidata.org/entity/Q24050466,wd:Q24050466,61062828,French operatic soprano
Algeria,4,Mériem Bouatoura,http://www.wikidata.org/entity/Q3333289,wd:Q3333289,55725937,Algerian independence fighter
Algeria,3,Eugénie Djendi,http://www.wikidata.org/entity/Q28397801,wd:Q28397801,56310374,french radio-operator and member of the resistance (1923-1945)
Algeria,3,Raymonde Peschard,http://www.wikidata.org/entity/Q18029238,wd:Q18029238,60988314,Algerian revolutionary
Algeria,3,Mathilde Saïman,http://www.wikidata.org/entity/Q15997074,wd:Q15997074,41465498,French soprano
Algeria,3,Jeanne Dortzal,http://www.wikidata.org/entity/Q15970833,wd:Q15970833,,
Algeria,2,Andrée Du Pac,http://www.wikidata.org/entity/Q2848941,wd:Q2848941,,
Algeria,2,Yvonne Kleiss-Herzig,http://www.wikidata.org/entity/Q3574206,wd:Q3574206,,
Algeria,2,Fatima Bedar,http://www.wikidata.org/entity/Q100483964,wd:Q100483964,69463716,Algerian independence activist
Algeria,2,Dorothée Chellier,http://www.wikidata.org/entity/Q21173825,wd:Q21173825,72248693,French physician
Algeria,2,Caroline de Broutelles,http://www.wikidata.org/entity/Q64728405,wd:Q64728405,,
Algeria,2,Dick May,http://www.wikidata.org/entity/Q3026603,wd:Q3026603,,
Algeria,2,Kheïra Es-sebsadjiyya,http://www.wikidata.org/entity/Q108976940,wd:Q108976940,,
Algeria,2,Marthe Ferrare,http://www.wikidata.org/entity/Q61479369,wd:Q61479369,,
Algeria,2,Pierrette Louin,http://www.wikidata.org/entity/Q47395594,wd:Q47395594,56310566,French espionage agent
Algeria,2,Cheikha Tetma,http://www.wikidata.org/entity/Q2962131,wd:Q2962131,,
Algeria,1,Régine Dancourt,http://www.wikidata.org/entity/Q30161071,wd:Q30161071,,
Algeria,1,Marianne Verger,http://www.wikidata.org/entity/Q16663002,wd:Q16663002,,
Algeria,1,Lucienne Capdevielle,http://www.wikidata.org/entity/Q52156517,wd:Q52156517,,
Algeria,1,Sylvette Fillacier,http://www.wikidata.org/entity/Q3507203,wd:Q3507203,,
Algeria,1,Mathilde de Craponne,http://www.wikidata.org/entity/Q57314250,wd:Q57314250,,
Andorra,5,Sara la Goda,http://www.wikidata.org/entity/Q6121781,wd:Q6121781,70741594,8th century Visigothic noblewoman
Angola,37,Nzingha Mbande,http://www.wikidata.org/entity/Q467650,wd:Q467650,419490,17th-century queen regnant of the Ndongo and Matamba Kingdoms of the Mbundu people in Angola (1583-1663)
Angola,14,Alda Lara,http://www.wikidata.org/entity/Q535235,wd:Q535235,1151234,Angolan poet
Angola,11,Deolinda Rodríguez de Almeida,http://www.wikidata.org/entity/Q22665691,wd:Q22665691,49333348,"Angolan nationalist, heroine, militant, writer, and translator"
Angola,4,Ana Joaquina dos Santos e Silva,http://www.wikidata.org/entity/Q56825003,wd:Q56825003,61089808,"wealthy Luso-African merchant, moneylender, entrepreneur, and slave trade"
Angola,4,Georgina Ribas,http://www.wikidata.org/entity/Q106378586,wd:Q106378586,67686040,"pianist, feminist and activist for the rights of blacks in Portugal in the 1st half of the 20th century"
Angola,3,Tula Marina di Vista,http://www.wikidata.org/entity/Q100748114,wd:Q100748114,67132958,"Dutch actress, writer and painter"
Angola,2,Catherine Mulgrave,http://www.wikidata.org/entity/Q55418314,wd:Q55418314,57677455,Angolan-Jamaican Moravian educator and missionary
Angola,1,Lucrécia Paím,http://www.wikidata.org/entity/Q96195304,wd:Q96195304,,
Antigua and Barbuda,8,Mary Thomas,http://www.wikidata.org/entity/Q29042635,wd:Q29042635,57001339,plantation worker in the Danish West Indies
Antigua and Barbuda,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
The Bahamas,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
Barbados,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
Belize,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
Costa Rica,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
Cuba,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
Dominica,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
Dominican Republic,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
El Salvador,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
Grenada,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
Guatemala,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
Haiti,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
Honduras,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
Jamaica,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
Nicaragua,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
Panama,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
Saint Kitts and Nevis,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
Saint Lucia,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
Saint Vincent and the Grenadines,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
Trinidad and Tobago,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
Antigua and Barbuda,2,Henrietta Liston,http://www.wikidata.org/entity/Q18730396,wd:Q18730396,55835567,British botanist (1751-1828)
Antigua and Barbuda,2,Bertha Higgins,http://www.wikidata.org/entity/Q95951313,wd:Q95951313,,
Antigua and Barbuda,2,Nellie Robinson,http://www.wikidata.org/entity/Q28804073,wd:Q28804073,53240790,Antiguan teacher and school founder (1880–1972)
Antigua and Barbuda,1,Rebecca Protten,http://www.wikidata.org/entity/Q7301871,wd:Q7301871,3975806,American missionary
Antigua and Barbuda,1,Lucy Chester Parke,http://www.wikidata.org/entity/Q43272603,wd:Q43272603,55817430,Antiguan plantation owner (1709-1770)
Argentina,101,Eva Perón,http://www.wikidata.org/entity/Q40933,wd:Q40933,51584,Argentinian actress and politician (1919-1952)
Argentina,41,Alejandra Pizarnik,http://www.wikidata.org/entity/Q272441,wd:Q272441,2577080,Argentinian poet (1936-1972)
Argentina,29,Violet Jessop,http://www.wikidata.org/entity/Q267275,wd:Q267275,1177251,Titanic crew member
Argentina,27,Tamara Bunke,http://www.wikidata.org/entity/Q213684,wd:Q213684,875005,Argentinian revolutionary (1937–1967)
Argentina,24,Mary McLeod Bethune,http://www.wikidata.org/entity/Q291068,wd:Q291068,1412179,American educator and civil rights leader (1875-1955)
Argentina,22,Delfina Bunge,http://www.wikidata.org/entity/Q3021555,wd:Q3021555,41799758,Argentine writer
Argentina,21,Virginia Bolten,http://www.wikidata.org/entity/Q7934155,wd:Q7934155,26040789,Argentine anarchist
Argentina,21,Lola Mora,http://www.wikidata.org/entity/Q452079,wd:Q452079,2878084,Argentine sculptor (1356–2023)
Argentina,19,Cecilia Grierson,http://www.wikidata.org/entity/Q5056433,wd:Q5056433,32687984,Argentine physician (1859-1934)
Argentina,17,Elvira Rawson,http://www.wikidata.org/entity/Q5368127,wd:Q5368127,39225403,Argentine physician
Argentina,16,Juana Manuela Gorriti,http://www.wikidata.org/entity/Q14077,wd:Q14077,491370,Argentine writer
Argentina,16,María Rosa Lida de Malkiel,http://www.wikidata.org/entity/Q448517,wd:Q448517,31751240,Argentine philologist
Argentina,16,Martita Hunt,http://www.wikidata.org/entity/Q458146,wd:Q458146,998623,British actress
Argentina,16,María Teresa Ferrari,http://www.wikidata.org/entity/Q6004655,wd:Q6004655,47290922,Argentinian physician and university professor
Argentina,15,Isa Kremer,http://www.wikidata.org/entity/Q4240142,wd:Q4240142,29063929,Russian American singer (1887-1956)
Moldova,15,Isa Kremer,http://www.wikidata.org/entity/Q4240142,wd:Q4240142,29063929,Russian American singer (1887-1956)
Argentina,15,Paulina Luisi,http://www.wikidata.org/entity/Q7154948,wd:Q7154948,490538,Uruguayan politician and medical doctor
Uruguay,15,Paulina Luisi,http://www.wikidata.org/entity/Q7154948,wd:Q7154948,490538,Uruguayan politician and medical doctor
Argentina,14,La Argentina,http://www.wikidata.org/entity/Q292658,wd:Q292658,466071,Spanish dancer
Argentina,12,Norah Lange,http://www.wikidata.org/entity/Q532041,wd:Q532041,561468,Argentine author (1905–1972)
Argentina,12,Juana Paula Manso,http://www.wikidata.org/entity/Q1710713,wd:Q1710713,28284564,Argentine writer (1819-1875)
Argentina,12,María Antonia de Paz y Figueroa,http://www.wikidata.org/entity/Q6003369,wd:Q6003369,47660604,"Argentinian nun, foundress, blessed"
Argentina,11,Herminia Brumana,http://www.wikidata.org/entity/Q5895863,wd:Q5895863,43345319,Argentinian writer and journalist (1897-1954)
Argentina,11,Paulette Schwartzmann,http://www.wikidata.org/entity/Q2944905,wd:Q2944905,9354510,French chess player
Argentina,11,La Argentinita,http://www.wikidata.org/entity/Q518796,wd:Q518796,777043,Spanish dancer and singer
Argentina,11,Fenia Chertkoff,http://www.wikidata.org/entity/Q5858672,wd:Q5858672,43113854,"Feminist, intellectual, educator, political activist, and sculptor (1869-1927)"
Argentina,10,Manuela Rosas,http://www.wikidata.org/entity/Q3287010,wd:Q3287010,41857005,Argentinian activist (1817-1898)
Argentina,10,Crescencia Pérez,http://www.wikidata.org/entity/Q5790827,wd:Q5790827,49852030,Argentinian nun
Argentina,10,Regina Pacini,http://www.wikidata.org/entity/Q9067599,wd:Q9067599,43708688,Portuguese opera singer
Argentina,9,Dora Trepat de Navarro,http://www.wikidata.org/entity/Q50211070,wd:Q50211070,56699998,Argentine chess player
Argentina,9,Dolores Cabanillas,http://www.wikidata.org/entity/Q3712730,wd:Q3712730,50658953,Argentine professed religious (1821-1885)
Argentina,9,Camila O'Gorman,http://www.wikidata.org/entity/Q2918157,wd:Q2918157,7739321,Argentine socialite
Argentina,9,Margrete Heiberg Bose,http://www.wikidata.org/entity/Q4509579,wd:Q4509579,35778847,Argentine physicist
Argentina,9,Juana Rouco Buela,http://www.wikidata.org/entity/Q5394278,wd:Q5394278,51630572,"Spanish-Argentine anarchist, trade unionist"
Argentina,9,Saturnina Rodríguez de Zavalía,http://www.wikidata.org/entity/Q30049852,wd:Q30049852,52282613,founder of a religious order and designated blessed by the Catholic church (1823-1896)
Argentina,8,Ada María Elflein,http://www.wikidata.org/entity/Q346216,wd:Q346216,24786415,Argentine writer
Argentina,8,Encarnación Ezcurra,http://www.wikidata.org/entity/Q932528,wd:Q932528,17876919,Argentine politician
Argentina,8,Difunta Correa,http://www.wikidata.org/entity/Q204963,wd:Q204963,4626021,mythical character
Argentina,8,Eduarda Mansilla,http://www.wikidata.org/entity/Q1290763,wd:Q1290763,41729764,Argentine writer (1834-1892)
Argentina,8,Norma Giménez,http://www.wikidata.org/entity/Q6044922,wd:Q6044922,44212155,Argentian actress (1930-1957)
Argentina,8,Azucena Maizani,http://www.wikidata.org/entity/Q8210913,wd:Q8210913,43248152,Argentinian singer (1902-1970)
Argentina,8,Carola Lorenzini,http://www.wikidata.org/entity/Q8338746,wd:Q8338746,52709430,Argentinian aviator
Argentina,8,Paulette Duval,http://www.wikidata.org/entity/Q7154850,wd:Q7154850,6856329,Argentine actress (1889-1951)
Argentina,7,Procesa del Carmen Sarmiento,http://www.wikidata.org/entity/Q6087116,wd:Q6087116,41814877,Argentine painter (1818-1899)
Argentina,7,María de los Remedios de Escalada,http://www.wikidata.org/entity/Q3082494,wd:Q3082494,28152648,Argentine general's wife
Argentina,7,Irene Caba Alba,http://www.wikidata.org/entity/Q5920146,wd:Q5920146,44275229,Argentine-born Spanish actress
Argentina,7,Pepita Serrador,http://www.wikidata.org/entity/Q6071907,wd:Q6071907,46711298,Argentinian actor
Argentina,7,Petrona Eyle,http://www.wikidata.org/entity/Q7179015,wd:Q7179015,34220715,Argentine doctor
Argentina,7,Sofía Bozán,http://www.wikidata.org/entity/Q7554439,wd:Q7554439,9855019,Argentine actress (1904-1958)
Argentina,7,Enriqueta Pinto Garmendia,http://www.wikidata.org/entity/Q5834035,wd:Q5834035,8734162,First Lady of Chile
Chile,7,Enriqueta Pinto Garmendia,http://www.wikidata.org/entity/Q5834035,wd:Q5834035,8734162,First Lady of Chile
Argentina,7,India Juliana,http://www.wikidata.org/entity/Q110588238,wd:Q110588238,69797134,16th-century Guaraní rebel from early-colonial Paraguay.
Bolivia,7,India Juliana,http://www.wikidata.org/entity/Q110588238,wd:Q110588238,69797134,16th-century Guaraní rebel from early-colonial Paraguay.
Paraguay,7,India Juliana,http://www.wikidata.org/entity/Q110588238,wd:Q110588238,69797134,16th-century Guaraní rebel from early-colonial Paraguay.
Uruguay,7,India Juliana,http://www.wikidata.org/entity/Q110588238,wd:Q110588238,69797134,16th-century Guaraní rebel from early-colonial Paraguay.
Argentina,7,María Guadalupe Cuenca,http://www.wikidata.org/entity/Q19458508,wd:Q19458508,68538581,Argentine writer
Bolivia,7,María Guadalupe Cuenca,http://www.wikidata.org/entity/Q19458508,wd:Q19458508,68538581,Argentine writer
Armenia,26,Shushanik Kurghinian,http://www.wikidata.org/entity/Q3249844,wd:Q3249844,12843515,Armenian poet
Armenia,24,Bezmiâlem Sultan,http://www.wikidata.org/entity/Q623135,wd:Q623135,4645444,"consort of Mahmud II, mother and Valide Sultan of Abdülmejid I"
Azerbaijan,24,Bezmiâlem Sultan,http://www.wikidata.org/entity/Q623135,wd:Q623135,4645444,"consort of Mahmud II, mother and Valide Sultan of Abdülmejid I"
Georgia,24,Bezmiâlem Sultan,http://www.wikidata.org/entity/Q623135,wd:Q623135,4645444,"consort of Mahmud II, mother and Valide Sultan of Abdülmejid I"
Armenia,13,Bidar Kadın,http://www.wikidata.org/entity/Q16059449,wd:Q16059449,42044980,fourth consort of Ottoman Sultan Abdul Hamid II (1855–1918)
Azerbaijan,13,Bidar Kadın,http://www.wikidata.org/entity/Q16059449,wd:Q16059449,42044980,fourth consort of Ottoman Sultan Abdul Hamid II (1855–1918)
Georgia,13,Bidar Kadın,http://www.wikidata.org/entity/Q16059449,wd:Q16059449,42044980,fourth consort of Ottoman Sultan Abdul Hamid II (1855–1918)
Armenia,9,Stephanie of Armenia,http://www.wikidata.org/entity/Q959494,wd:Q959494,27927714,"first-born daughter of Leo I, King of Armenia"
Armenia,5,Schamram Kelleciyan,http://www.wikidata.org/entity/Q1419144,wd:Q1419144,49820961,Turkish composer
Armenia,5,Pamphylia Tanailidi,http://www.wikidata.org/entity/Q7129431,wd:Q7129431,7348694,Azerbaijani actress
Armenia,4,Jamal Nur Kadinefendi,http://www.wikidata.org/entity/Q19664993,wd:Q19664993,44788080,consort of khedive Ismail Pasha
Azerbaijan,4,Jamal Nur Kadinefendi,http://www.wikidata.org/entity/Q19664993,wd:Q19664993,44788080,consort of khedive Ismail Pasha
Armenia,4,Neshedil Kadinefendi,http://www.wikidata.org/entity/Q19902534,wd:Q19902534,,
Azerbaijan,4,Neshedil Kadinefendi,http://www.wikidata.org/entity/Q19902534,wd:Q19902534,,
Armenia,3,Ljudmila Vladimirovna Majakovskaja,http://www.wikidata.org/entity/Q29865296,wd:Q29865296,,
Armenia,3,Yeranuhi Adamyan,http://www.wikidata.org/entity/Q20510492,wd:Q20510492,,
Armenia,3,Witolda Rechniewska,http://www.wikidata.org/entity/Q4393872,wd:Q4393872,,
Azerbaijan,3,Witolda Rechniewska,http://www.wikidata.org/entity/Q4393872,wd:Q4393872,,
Armenia,2,Ketevan Aramyan,http://www.wikidata.org/entity/Q13055212,wd:Q13055212,,
Armenia,2,Q47453071,http://www.wikidata.org/entity/Q47453071,wd:Q47453071,,
Armenia,2,Nvard Apinyan,http://www.wikidata.org/entity/Q24628725,wd:Q24628725,,
Armenia,2,Marusya Tamrazyan,http://www.wikidata.org/entity/Q21211604,wd:Q21211604,,
Armenia,2,Azniv Petrosyan,http://www.wikidata.org/entity/Q20509288,wd:Q20509288,,
